prompt_language,task,prompt_condition,metric,n,mean,sd,median,minimum,maximum
en,igt,detailed,net_score,20,87.0,12.096106376585988,78.0,76.0,100.0
en,igt,detailed,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,igt,role_human,advantageous_choice_rate,20,0.9285,0.04826189517948698,0.9,0.88,1.0
en,igt,role_human,post_loss_switching_rate,20,0.6122060047795342,0.2247558245236581,0.6586538461538461,0.2,0.9047619047619048
en,igt,role_human,average_net_outcome,20,22.4375,2.061353349520394,22.125,20.0,26.25
en,igt,role_human,deck_A_rate,20,0.0015,0.004893604849295929,0.0,0.0,0.02
en,igt,role_human,deck_B_rate,20,0.07,0.04701623459816273,0.1,0.0,0.1
en,igt,role_human,deck_C_rate,20,0.1575,0.11516007166228734,0.1,0.02,0.36
en,igt,role_human,deck_D_rate,20,0.771,0.07601246435185553,0.785,0.64,0.88
en,igt,role_human,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,igt,role_human,learning_curve_change,20,14.3,9.652379035897397,20.0,0.0,24.0
en,igt,role_human,learning_slope,20,2.86,1.9304758071794796,4.0,0.0,4.799999999999999
en,igt,role_human,n_trials,20,100.0,0.0,100.0,100.0,100.0
en,igt,role_human,net_score,20,85.7,9.652379035897397,80.0,76.0,100.0
en,igt,role_human,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,igt,reward_loss_emphasis,advantageous_choice_rate,20,0.967,0.052022262440936606,1.0,0.88,1.0
en,igt,reward_loss_emphasis,post_loss_switching_rate,20,0.6193672993672994,0.19747862774724928,0.6076923076923078,0.24242424242424243,0.9047619047619048
en,igt,reward_loss_emphasis,average_net_outcome,20,23.7,2.2251552281748084,25.0,20.0,25.75
en,igt,reward_loss_emphasis,deck_A_rate,20,0.003,0.007326950970650465,0.0,0.0,0.02
en,igt,reward_loss_emphasis,deck_B_rate,20,0.030000000000000002,0.04701623459816273,0.0,0.0,0.1
en,igt,reward_loss_emphasis,deck_C_rate,20,0.3635,0.13697003129766822,0.395,0.1,0.6
en,igt,reward_loss_emphasis,deck_D_rate,20,0.6035,0.10781441169167066,0.6,0.4,0.8
en,igt,reward_loss_emphasis,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,igt,reward_loss_emphasis,learning_curve_change,20,6.6,10.404452488187323,0.0,0.0,24.0
en,igt,reward_loss_emphasis,learning_slope,20,1.3199999999999998,2.0808904976374643,0.0,0.0,4.799999999999999
en,igt,reward_loss_emphasis,n_trials,20,100.0,0.0,100.0,100.0,100.0
en,igt,reward_loss_emphasis,net_score,20,93.4,10.404452488187323,100.0,76.0,100.0
en,igt,reward_loss_emphasis,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,bart,baseline,adjusted_average_pumps,20,2.5904061956693534,0.6526667266950469,2.53490990990991,1.6111111111111112,4.184210526315789
en,bart,baseline,explosion_rate,20,0.07125000000000001,0.018628995509264865,0.075,0.05,0.1
en,bart,baseline,post_explosion_adjustment,20,-1.2666666666666666,1.0364694910357724,-1.2916666666666665,-4.0,0.0
en,bart,baseline,average_earning_per_balloon,20,0.12037499999999997,0.030971389598857382,0.11562499999999996,0.07249999999999997,0.19874999999999998
en,bart,baseline,average_pumps,20,2.5875,0.6320653280693131,2.6125,1.625,4.15
en,bart,baseline,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,bart,baseline,n_balloons,20,40.0,0.0,40.0,40.0,40.0
en,bart,baseline,n_trials,20,140.65,25.390165937145618,141.0,101.0,204.0
en,bart,baseline,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,bart,detailed,adjusted_average_pumps,20,2.5407517668043984,0.7801879377639542,2.5071321321321323,1.4473684210526316,4.486486486486487
en,bart,detailed,explosion_rate,20,0.0725,0.019701723141310308,0.075,0.05,0.125
en,bart,detailed,post_explosion_adjustment,20,-0.8375,1.3492674534052593,-0.8333333333333333,-3.6666666666666665,1.5
en,bart,detailed,average_earning_per_balloon,20,0.11787499999999998,0.03664395728170143,0.11437499999999994,0.06749999999999998,0.20750000000000002
en,bart,detailed,average_pumps,20,2.53625,0.7475167222209814,2.5250000000000004,1.5,4.35
en,bart,detailed,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,bart,detailed,n_balloons,20,40.0,0.0,40.0,40.0,40.0
en,bart,detailed,n_trials,20,138.55,29.928819063342875,138.0,98.0,211.0
en,bart,detailed,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,bart,role_human,adjusted_average_pumps,20,1.6174362621731042,0.6624661978262035,1.389676113360324,1.0263157894736843,3.7027027027027026
en,bart,role_human,explosion_rate,20,0.043750000000000004,0.017908759985284472,0.05,0.025,0.075
en,bart,role_human,post_explosion_adjustment,20,-1.0,1.0814761408717501,-0.8333333333333333,-4.0,0.0
en,bart,role_human,average_earning_per_balloon,20,0.07731249999999998,0.03127045383256751,0.06687499999999996,0.04875000000000003,0.17124999999999996
en,bart,role_human,average_pumps,20,1.62875,0.6353239434791473,1.425,1.025,3.6
en,bart,role_human,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,bart,role_human,n_balloons,20,40.0,0.0,40.0,40.0,40.0
en,bart,role_human,n_trials,20,103.4,25.40907421830986,95.5,79.0,181.0
en,bart,role_human,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,bart,risk_emphasis,adjusted_average_pumps,20,2.8275714059924586,0.9427023671717999,2.6111111111111107,1.4210526315789473,4.8108108108108105
en,bart,risk_emphasis,explosion_rate,20,0.07875,0.020318192522181224,0.075,0.05,0.125
en,bart,risk_emphasis,post_explosion_adjustment,20,-1.0133333333333334,0.8776230524674146,-1.0,-3.3333333333333335,0.6666666666666666
en,bart,risk_emphasis,average_earning_per_balloon,20,0.1303125,0.04396633543196194,0.11874999999999994,0.06749999999999999,0.2225
en,bart,risk_emphasis,average_pumps,20,2.81,0.8917900390137863,2.7,1.45,4.725
en,bart,risk_emphasis,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,bart,risk_emphasis,n_balloons,20,40.0,0.0,40.0,40.0,40.0
en,bart,risk_emphasis,n_trials,20,149.25,35.73568907526775,145.0,96.0,226.0
en,bart,risk_emphasis,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
