prompt_language,task,prompt_condition,psi,expected_metric_count,valid_metric_count,excluded_metrics,status,bootstrap_unit,confidence_level,bootstrap_replicates,psi_valid_replicates,psi_valid_proportion,psi_interval_status,psi_ci_lower,psi_ci_upper
en,horizon,detailed,0.6498800536791374,3,3,,complete,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,0.18304136765182225,1.306018441674843
en,horizon,role_human,0.8678681818499051,3,3,,complete,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,0.3818891759745336,1.5228589144540816
en,horizon,uncertainty_emphasis,0.376092012092126,3,3,,complete,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,0.11403313488723771,0.9467136511170369
en,igt,detailed,0.3649796731822108,2,2,,complete,independent_cell,0.95,2000,2000,1.0,report,0.24419006633832122,0.8929018204246889
en,igt,role_human,0.5565707101879276,2,2,,complete,independent_cell,0.95,2000,2000,1.0,report,0.1922882046076143,0.9946031848643311
en,igt,reward_loss_emphasis,0.7831662160377888,2,2,,complete,independent_cell,0.95,2000,2000,1.0,report,0.40928860443012655,1.2807570854219292
en,bart,detailed,1.4140003768743874,3,3,,complete,paired_environment_seed,0.95,2000,2000,1.0,report,1.1487224293504001,2.125429051433785
en,bart,role_human,0.299946298704001,3,3,,complete,paired_environment_seed,0.95,2000,2000,1.0,report,0.18576932065569096,0.6325934421918507
en,bart,risk_emphasis,1.4225309571016402,3,3,,complete,paired_environment_seed,0.95,2000,2000,1.0,report,1.1580795763808238,2.1562724059249354
