prompt_language,task,prompt_condition,metric,n,mean,sd,median,minimum,maximum
en,igt,detailed,n_trials,20,100.0,0.0,100.0,100.0,100.0
en,igt,detailed,net_score,20,73.4,6.652265146470589,72.0,68.0,100.0
en,igt,detailed,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,igt,role_human,advantageous_choice_rate,20,0.858,0.01105012502906166,0.86,0.84,0.88
en,igt,role_human,post_loss_switching_rate,20,0.36204545454545456,0.10543990987798385,0.358974358974359,0.2,0.5384615384615384
en,igt,role_human,average_net_outcome,20,20.6,0.7626132357679226,20.75,19.25,22.0
en,igt,role_human,deck_A_rate,20,0.042,0.01105012502906165,0.04,0.02,0.06
en,igt,role_human,deck_B_rate,20,0.1,0.0,0.1,0.1,0.1
en,igt,role_human,deck_C_rate,20,0.021,0.010711528467275954,0.02,0.01,0.04
en,igt,role_human,deck_D_rate,20,0.837,0.015252264715358465,0.83,0.82,0.87
en,igt,role_human,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,igt,role_human,learning_curve_change,20,28.1,1.8890264827766652,28.0,24.0,32.0
en,igt,role_human,learning_slope,20,5.6499999999999995,0.39934156333961357,5.6,4.799999999999999,6.4
en,igt,role_human,n_trials,20,100.0,0.0,100.0,100.0,100.0
en,igt,role_human,net_score,20,71.6,2.21002500581233,72.0,68.0,76.0
en,igt,role_human,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,igt,reward_loss_emphasis,advantageous_choice_rate,20,0.8625,0.011180339887498959,0.86,0.84,0.88
en,igt,reward_loss_emphasis,post_loss_switching_rate,20,0.3501923076923077,0.12465790835912172,0.3333333333333333,0.2,0.6153846153846154
en,igt,reward_loss_emphasis,average_net_outcome,20,20.9125,0.8040808744346423,20.875,19.25,22.25
en,igt,reward_loss_emphasis,deck_A_rate,20,0.0375,0.011180339887498949,0.04,0.02,0.06
en,igt,reward_loss_emphasis,deck_B_rate,20,0.1,0.0,0.1,0.1,0.1
en,igt,reward_loss_emphasis,deck_C_rate,20,0.021,0.013337718577107003,0.02,0.01,0.05
en,igt,reward_loss_emphasis,deck_D_rate,20,0.8415,0.018715318802914813,0.845,0.81,0.87
en,igt,reward_loss_emphasis,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,igt,reward_loss_emphasis,learning_curve_change,20,27.2,1.98944583661936,28.0,24.0,30.0
en,igt,reward_loss_emphasis,learning_slope,20,5.47,0.41688064680938447,5.6,4.799999999999999,6.2
en,igt,reward_loss_emphasis,n_trials,20,100.0,0.0,100.0,100.0,100.0
en,igt,reward_loss_emphasis,net_score,20,72.5,2.23606797749979,72.0,68.0,76.0
en,igt,reward_loss_emphasis,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,bart,baseline,adjusted_average_pumps,20,2.8239114114114114,0.670224841317945,2.837719298245614,1.837837837837838,4.945945945945946
en,bart,baseline,explosion_rate,20,0.07875,0.01862899550926487,0.075,0.05,0.1
en,bart,baseline,post_explosion_adjustment,20,-0.9416666666666667,1.3070602253716306,-1.125,-3.0,1.5
en,bart,baseline,average_earning_per_balloon,20,0.13012499999999996,0.03126420729675929,0.128125,0.08499999999999998,0.22875
en,bart,baseline,average_pumps,20,2.8575,0.6331365114296151,2.825,1.95,4.875
