model,prompt_language,task,prompt_condition,metric,abs_deviation_change,coverage_change,abs_ci_lower,abs_ci_upper,coverage_ci_lower,coverage_ci_upper
gpt-4.1-2025-04-14,zh-CN,bart,risk_emphasis,adjusted_average_pumps,0.0351625757545172,0.0,-0.14453522321090728,0.16929161785207858,0.0,0.0
gpt-4.1-2025-04-14,zh-CN,bart,risk_emphasis,explosion_rate,0.15411779913780238,0.0,0.01100841422412846,0.28621876982734595,0.0,0.0
gpt-4.1-2025-04-14,zh-CN,bart,risk_emphasis,post_explosion_adjustment,-0.04133036427783354,-0.050000000000000044,-0.3113676951906973,0.34580838221346094,-0.15000000000000002,0.0
gpt-4.1-2025-04-14,es,horizon,detailed,directed_exploration,-0.5133675112454118,0.15000000000000002,-0.9059426669036663,-0.09059426669036752,-0.050000000000000044,0.35000000000000003
gpt-4.1-2025-04-14,es,horizon,detailed,horizon_effect,-0.08603767442102106,-0.10000000000000009,-0.5735844961401407,0.4015091472980987,-0.35000000000000003,0.15000000000000002
gpt-4.1-2025-04-14,es,horizon,role_human,directed_exploration,-0.8757445780068807,0.30000000000000004,-1.328715911458713,-0.36237706676146625,0.04999999999999993,0.5499999999999999
gpt-4.1-2025-04-14,es,horizon,role_human,horizon_effect,-0.20075457364904936,-0.050000000000000044,-0.6883013953681691,0.28679224807007064,-0.30000000000000004,0.19999999999999996
gpt-4.1-2025-04-14,es,horizon,uncertainty_emphasis,directed_exploration,-0.36237706676146764,0.20000000000000007,-0.6341598668325663,-0.09059426669036619,0.04999999999999993,0.39999999999999997
gpt-4.1-2025-04-14,es,horizon,uncertainty_emphasis,horizon_effect,-2.220446049250313e-16,-0.10000000000000009,-0.4309053527252814,0.4588675969121129,-0.35,0.15000000000000002
gpt-4.1-2025-04-14,es,igt,detailed,advantageous_choice_rate,-0.09438703303154705,0.0,-0.11955690850662437,-0.06292468868769863,0.0,0.0
gpt-4.1-2025-04-14,es,igt,detailed,post_loss_switching_rate,-0.22059882531699343,0.0,-0.32535284777945483,-0.11687952256371717,0.0,0.0
gpt-4.1-2025-04-14,es,igt,role_human,advantageous_choice_rate,0.018877406606309766,0.0,0.0,0.03775481321261909,0.0,0.0
gpt-4.1-2025-04-14,es,igt,role_human,post_loss_switching_rate,-0.09648699904338123,0.0,-0.17885160292664845,-0.015388591641087045,0.0,0.0
