task,metric,human_n,human_mean,human_mean_ci_lower,human_mean_ci_upper,human_sd,human_sd_ci_lower,human_sd_ci_upper,empirical_lower,empirical_upper
horizon,directed_exploration,60,0.5441666667,0.5238541667,0.563859375,0.0827866958,0.0680272503,0.0960757498,0.37796875,0.69765625
horizon,horizon_effect,60,0.1108252713,0.0891668191,0.1325190603,0.0871711149,0.0628017551,0.1104081501,-0.0001621462,0.3113138758
igt,advantageous_choice_rate,504,0.5380952381,0.5246195437,0.5520248016,0.1589201347,0.1487219503,0.1684030997,0.20575,0.85
igt,post_loss_switching_rate,504,0.6946879629,0.6715333752,0.7183182329,0.2644652382,0.2507109165,0.2763182546,0.1559548611,1.0
bart,adjusted_average_pumps,141,8.3200189318,7.7610996877,8.8734484964,3.2813943757,2.9043367622,3.6226891603,3.1455342903,15.4123376623
bart,explosion_rate,141,0.2852836879,0.2666666667,0.3039051418,0.1135495063,0.1009569367,0.125638327,0.075,0.475
bart,post_explosion_adjustment,140,1.1911586983,0.9375966604,1.44624849,1.6083963664,1.421278332,1.7759839712,-1.6786931818,4.4923214286
