task,prompt_condition,model_a,model_b,model_a_psi,model_b_psi,model_b_minus_model_a_psi
bart,detailed,GPT-5.4,GPT-5.4 Mini,0.16040058377040325,1.4140003768743874,1.2535997931039842
bart,risk_emphasis,GPT-5.4,GPT-5.4 Mini,0.3074655908546526,1.4225309571016402,1.1150653662469876
bart,role_human,GPT-5.4,GPT-5.4 Mini,1.0573573882801746,0.299946298704001,-0.7574110895761735
horizon,detailed,GPT-5.4,GPT-5.4 Mini,0.24993771283305077,0.6498800536791374,0.3999423408460866
horizon,role_human,GPT-5.4,GPT-5.4 Mini,0.2028799053752302,0.8678681818499051,0.6649882764746748
horizon,uncertainty_emphasis,GPT-5.4,GPT-5.4 Mini,0.2103866977339358,0.376092012092126,0.1657053143581902
igt,detailed,GPT-5.4,GPT-5.4 Mini,0.529650022784624,0.3649796731822108,-0.16467034960241322
igt,reward_loss_emphasis,GPT-5.4,GPT-5.4 Mini,0.8504832007769474,0.7831662160377888,-0.06731698473915859
igt,role_human,GPT-5.4,GPT-5.4 Mini,0.4249156694627155,0.5565707101879276,0.1316550407252121
