prompt_language,task,metric,closest_prompt_condition,human_sd_standardised_distance,llm_mean,human_mean,llm_mean_reference_position,llm_runs_within_human_reference_proportion
en,horizon,directed_exploration,baseline,-0.44290530381957055,0.5075000000000001,0.5441666666666667,within,0.9
en,horizon,horizon_effect,uncertainty_emphasis,-1.0992777991697684,0.015000000000000003,0.11082527130415917,within,0.8
en,horizon,random_exploration_effect,detailed,-1.324630941163858,0.44516187609689695,8.909982267051527,below,0.05
en,igt,advantageous_choice_rate,baseline,2.2395196345326216,0.8940000000000001,0.5380952380952376,above,0.0
en,igt,post_loss_switching_rate,reward_loss_emphasis,-0.2848036441493884,0.6193672993672992,0.6946879629435914,within,1.0
en,bart,adjusted_average_pumps,risk_emphasis,-1.673815121524767,2.8275714059924586,8.320018931754284,below,0.35
en,bart,explosion_rate,risk_emphasis,-1.8188867104930921,0.07875,0.2852836879432623,within,0.8
en,bart,post_explosion_adjustment,detailed,-1.261292763856684,-0.8375,1.191158698327816,within,0.8
