task,metric,human_n,human_mean,human_sd,human_median,human_minimum,human_maximum,human_reference_lower,human_reference_upper,source
horizon,directed_exploration,60,0.5441666666666667,0.082786695825173,0.5375,0.35625,0.7375,0.37796874999999996,0.69765625,participant_metric_csv
horizon,horizon_effect,60,0.11082527130415917,0.08717111486880876,0.10072844518748508,-0.08045886075949371,0.45625,-0.00016214622641509517,0.31131387578616354,participant_metric_csv
horizon,random_exploration_effect,60,8.909982267051527,6.390323619888572,7.218026619638378,0.8053527734016859,33.507282933568945,1.5685572698629873,25.397343561327602,horizon_random_exploration_model
igt,advantageous_choice_rate,504,0.5380952380952376,0.15892013466496727,0.52,0.09,0.94,0.20575000000000002,0.85,participant_metric_csv
igt,post_loss_switching_rate,504,0.6946879629435914,0.2644652381511809,0.7642857142857142,0.024390243902439025,1.0,0.15595486111111112,1.0,participant_metric_csv
bart,adjusted_average_pumps,141,8.320018931754284,3.281394375717232,7.931034482758621,1.775,17.36842105263158,3.145534290271132,15.412337662337663,participant_metric_csv
bart,explosion_rate,141,0.2852836879432623,0.11354950627313778,0.275,0.0,0.625,0.075,0.475,participant_metric_csv
bart,post_explosion_adjustment,140,1.191158698327816,1.6083963663794754,1.15,-2.3333333333333335,5.5,-1.6786931818181818,4.4923214285714295,participant_metric_csv
