task,prompt_condition,model_a,model_b,model_a_psi,model_b_psi,model_b_minus_model_a_psi
bart,detailed,GPT-5.4,GPT-4.1,0.16040058377040325,0.6039987494735001,0.44359816570309685
bart,risk_emphasis,GPT-5.4,GPT-4.1,0.3074655908546526,0.27923183484524633,-0.028233756009406252
bart,role_human,GPT-5.4,GPT-4.1,1.0573573882801746,0.6752215838144735,-0.38213580446570106
horizon,detailed,GPT-5.4,GPT-4.1,0.24993771283305077,0.3316572403092368,0.08171952747618605
horizon,role_human,GPT-5.4,GPT-4.1,0.2028799053752302,0.3963311179499819,0.19345121257475167
horizon,uncertainty_emphasis,GPT-5.4,GPT-4.1,0.2103866977339358,0.9397490829319809,0.7293623851980451
igt,detailed,GPT-5.4,GPT-4.1,0.529650022784624,0.7880017450796946,0.25835172229507053
igt,reward_loss_emphasis,GPT-5.4,GPT-4.1,0.8504832007769474,0.8964241468586719,0.0459409460817245
igt,role_human,GPT-5.4,GPT-4.1,0.4249156694627155,0.25174364260377885,-0.17317202685893662
