task,prompt_condition,metric,llm_n,human_n,llm_mean,human_mean,raw_mean_difference_llm_minus_human,human_sd_standardised_distance,llm_sd,human_sd,llm_median,human_median,human_reference_lower,human_reference_upper,llm_mean_reference_position,llm_mean_human_empirical_quantile,llm_runs_within_human_reference_count,llm_runs_within_human_reference_proportion,prompt_language
horizon,baseline,directed_exploration,20,60,0.5425000000000001,0.5441666666666667,-0.0016666666666665941,-0.020132059264525083,0.08777213321106565,0.082786695825173,0.55,0.5375,0.37796874999999996,0.69765625,within,0.5,18,0.9,en
horizon,detailed,directed_exploration,20,60,0.58,0.5441666666666667,0.03583333333333327,0.4328392741873074,0.09090191359227176,0.082786695825173,0.575,0.5375,0.37796874999999996,0.69765625,within,0.6666666666666666,17,0.85,en
horizon,role_human,directed_exploration,20,60,0.485,0.5441666666666667,-0.0591666666666667,-0.7146881038906719,0.07626132357679227,0.082786695825173,0.5,0.5375,0.37796874999999996,0.69765625,within,0.21666666666666667,18,0.9,en
horizon,uncertainty_emphasis,directed_exploration,20,60,0.6874999999999999,0.5441666666666667,0.1433333333333332,1.7313570967492309,0.1049749343515168,0.082786695825173,0.675,0.5375,0.37796874999999996,0.69765625,within,0.9666666666666667,10,0.5,en
horizon,baseline,horizon_effect,20,60,-0.009999999999999998,0.11082527130415917,-0.12082527130415917,-1.3860700472398388,0.08522416262267904,0.08717111486880876,-0.025,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,below,0.03333333333333333,10,0.5,en
horizon,detailed,horizon_effect,20,60,0.0025000000000000022,0.11082527130415917,-0.10832527130415917,-1.2426739232048036,0.07859791077978708,0.08717111486880876,0.0,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,within,0.03333333333333333,13,0.65,en
horizon,role_human,horizon_effect,20,60,-0.002500000000000001,0.11082527130415917,-0.11332527130415918,-1.300032372818818,0.06381511122808321,0.08717111486880876,0.0,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,below,0.03333333333333333,13,0.65,en
horizon,uncertainty_emphasis,horizon_effect,20,60,0.04250000000000001,0.11082527130415917,-0.06832527130415916,-0.783806326292691,0.11387319817743724,0.08717111486880876,0.05,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,within,0.23333333333333334,11,0.55,en
horizon,baseline,random_exploration_effect,20,60,0.49187682049755777,8.909982267051527,-8.41810544655397,-1.3173206784636606,1.7213838884920063,6.390323619888572,0.19575506756690897,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,4,0.2,en
horizon,detailed,random_exploration_effect,20,60,-0.2549730824870094,8.909982267051527,-9.164955349538536,-1.4341926786015173,1.6499018482211438,6.390323619888572,-0.16064740175027636,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,2,0.1,en
