prompt_language,task,metric,closest_prompt_condition,human_sd_standardised_distance,llm_mean,human_mean,llm_mean_reference_position,llm_runs_within_human_reference_proportion
en,horizon,directed_exploration,role_human,-1.6810269485879168,0.4050000000000001,0.5441666666666667,within,0.65
en,horizon,horizon_effect,detailed,-1.0992777991697684,0.015000000000000003,0.11082527130415917,within,0.7
en,horizon,random_exploration_effect,role_human,-1.301367392397271,0.5938234812624452,8.909982267051527,below,0.0
en,igt,advantageous_choice_rate,baseline,1.9657972387411355,0.8504999999999997,0.5380952380952376,above,0.5
en,igt,post_loss_switching_rate,detailed,-0.9987472279291442,0.4305540394564785,0.6946879629435914,within,0.95
en,bart,adjusted_average_pumps,detailed,-1.0726432615384984,4.800253366190867,8.320018931754284,within,1.0
en,bart,explosion_rate,detailed,-1.3014912419590439,0.13749999999999998,0.2852836879432623,within,0.95
en,bart,post_explosion_adjustment,detailed,-1.2295397521992457,-0.7864285714285715,1.191158698327816,within,0.85
